Experiment 'schedule-test', execution 1 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:37
Experiment 'schedule-test', execution 2 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:37
Experiment 'schedule-test', execution 3 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:37
Experiment 'schedule-test', execution 4 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:38
Experiment 'schedule-test', execution 5 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:38
Experiment 'schedule-test', execution 6 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:38
Experiment 'schedule-test', execution 7 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:38
Experiment 'schedule-test', execution 8 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:38
Experiment 'schedule-test', execution 9 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:39
Experiment 'schedule-test', execution 10 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:24:39
Experiment 'schedule-test', execution 1 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:43
Experiment 'schedule-test', execution 2 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:43
Experiment 'schedule-test', execution 3 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:43
Experiment 'schedule-test', execution 4 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:43
Experiment 'schedule-test', execution 5 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:43
Experiment 'schedule-test', execution 6 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:44
Experiment 'schedule-test', execution 7 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:44
Experiment 'schedule-test', execution 8 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:44
Experiment 'schedule-test', execution 9 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:44
Experiment 'schedule-test', execution 10 of gemm with dataset: MEDIUM_DATASET, schedule: STATIC, chunk_size: 32, threads: 8 start at 06/11/2020-00:52:44
